    number     Model      flag         y         k       L_H       L_L       c_H       c_L       V_H       V_L      V_HL
        10         3         1    0.0843    0.1249    0.2047    0.6635    0.0627    0.0630  573.0209  573.5091    0.9991
        10         3         1    0.0849    0.1244    0.2048    0.6639    0.0629    0.0638  582.4063  584.0254    0.9972
        10         3         1    0.0855    0.1239    0.2048    0.6643    0.0632    0.0647  592.0953  594.8792    0.9953
        10         3         1    0.0861    0.1233    0.2049    0.6647    0.0634    0.0655  602.0986  606.0789    0.9934
        10         3         1    0.0867    0.1228    0.2049    0.6650    0.0636    0.0663  612.4339  617.6451    0.9916
        10         3         1    0.0873    0.1223    0.2050    0.6654    0.0638    0.0672  623.1189  629.5969    0.9897
        10         3         1    0.0879    0.1218    0.2050    0.6657    0.0640    0.0680  634.1703  641.9544    0.9879
        10         3         1    0.0885    0.1212    0.2050    0.6661    0.0642    0.0689  645.6097  654.7396    0.9861
        10         3         1    0.0891    0.1207    0.2050    0.6664    0.0644    0.0697  657.4575  667.9759    0.9843
        10         3         1    0.0897    0.1202    0.2050    0.6667    0.0646    0.0706  669.7364  681.6883    0.9825
        10         3         1    0.0903    0.1196    0.2050    0.6671    0.0648    0.0714  682.4708  695.9037    0.9807
        10         3         1    0.0909    0.1191    0.2050    0.6674    0.0650    0.0723  695.6867  710.6510    0.9789
        10         3         1    0.0916    0.1186    0.2049    0.6677    0.0652    0.0731  709.4131  725.9619    0.9772
        10         3         1    0.0922    0.1180    0.2049    0.6680    0.0654    0.0740  723.6801  741.8699    0.9755
        10         3         1    0.0928    0.1175    0.2049    0.6683    0.0655    0.0749  738.5205  758.4113    0.9738
        10         3         1    0.0934    0.1170    0.2048    0.6686    0.0657    0.0757  753.9701  775.6257    0.9721
        10         3         1    0.0940    0.1164    0.2048    0.6689    0.0659    0.0766  770.0677  793.5559    0.9704
        10         3         1    0.0946    0.1159    0.2047    0.6691    0.0661    0.0775  786.8554  812.2485    0.9687
        10         3         1    0.0952    0.1154    0.2047    0.6694    0.0663    0.0783  804.3790  831.7539    0.9671
        10         3         1    0.0959    0.1148    0.2046    0.6697    0.0664    0.0792  822.6882  852.1275    0.9655
        10         3         1    0.0965    0.1143    0.2045    0.6700    0.0666    0.0801  841.8378  873.4295    0.9638
        10         3         1    0.0971    0.1138    0.2044    0.6702    0.0668    0.0810  861.8872  895.7257    0.9622
        10         3         1    0.0977    0.1132    0.2043    0.6705    0.0670    0.0818  882.9018  919.0885    0.9606
        10         3         1    0.0983    0.1127    0.2042    0.6707    0.0671    0.0827  904.9536  943.5973    0.9590
        10         3         1    0.0989    0.1122    0.2041    0.6710    0.0673    0.0836  928.1216  969.3397    0.9575
        10         3         1    0.0996    0.1116    0.2040    0.6712    0.0675    0.0845  952.4934  996.4123    0.9559
        10         3         1    0.1002    0.1111    0.2039    0.6715    0.0676    0.0854  978.1658 1024.9223    0.9544
        10         3         1    0.1008    0.1106    0.2038    0.6717    0.0678    0.0863 1005.2460 1054.9882    0.9529
        10         3         1    0.1014    0.1100    0.2037    0.6719    0.0679    0.0872 1033.8539 1086.7425    0.9513
        10         3         1    0.1020    0.1095    0.2036    0.6722    0.0681    0.0881 1064.1227 1120.3324    0.9498
        10         3         1    0.1027    0.1089    0.2034    0.6724    0.0683    0.0890 1096.2019 1155.9234    0.9483
        10         3         1    0.1033    0.1084    0.2033    0.6726    0.0684    0.0899 1130.2601 1193.7020    0.9469
        10         3         1    0.1039    0.1079    0.2031    0.6728    0.0686    0.0908 1166.4860 1233.8765    0.9454
        10         3         1    0.1045    0.1073    0.2030    0.6730    0.0687    0.0917 1205.0942 1276.6843    0.9439
        10         3         1    0.1052    0.1068    0.2028    0.6732    0.0689    0.0926 1246.3288 1322.3949    0.9425
        10         3         1    0.1058    0.1063    0.2027    0.6735    0.0690    0.0935 1290.4660 1371.3151    0.9410
        10         3         1    0.1064    0.1057    0.2025    0.6737    0.0692    0.0944 1337.8266 1423.7979    0.9396
        10         3         1    0.1070    0.1052    0.2024    0.6739    0.0693    0.0953 1388.7763 1480.2483    0.9382
        10         3         1    0.1077    0.1047    0.2022    0.6741    0.0694    0.0963 1443.7402 1541.1368    0.9368
        10         3         1    0.1083    0.1042    0.2020    0.6742    0.0696    0.0972 1503.2121 1607.0084    0.9354
        10         3         1    0.1089    0.1036    0.2018    0.6744    0.0697    0.0981 1567.7725 1678.5056    0.9340
        10         3         1    0.1096    0.1031    0.2017    0.6746    0.0699    0.0990 1638.1034 1756.3824    0.9327
        10         3         1    0.1102    0.1026    0.2015    0.6748    0.0700    0.0999 1715.0159 1841.5354    0.9313
        10         3         1    0.1108    0.1020    0.2013    0.6750    0.0702    0.1009 1799.4804 1935.0377    0.9299
        10         3         1    0.1115    0.1015    0.2011    0.6752    0.0703    0.1018 1892.6664 2038.1822    0.9286
        10         3         1    0.1121    0.1010    0.2009    0.6754    0.0704    0.1027 1996.0005 2152.5464    0.9273
        10         3         1    0.1127    0.1004    0.2007    0.6755    0.0706    0.1037 2111.2366 2280.0693    0.9260
