    number     Model      flag        RD         g       g_N       g_I      g_hH      g_hL       p_N       p_I     eps_N     eps_I
         2         3         1    0.0249    0.0332    0.0301    0.0301    0.0031    0.0031    1.0265    0.6784    0.0170    0.0112
         2         3         1    0.0797    0.0306    0.0272    0.0272    0.0034    0.0034    1.1605    0.6879    0.0152    0.0100
         2         3         1    0.0252    0.0339    0.0308    0.0308    0.0031    0.0031    1.0150    0.6708    0.0174    0.0115
         2         3         1    0.0254    0.0343    0.0312    0.0312    0.0031    0.0031    1.0094    0.6671    0.0177    0.0117
         2         3         1    0.0255    0.0346    0.0316    0.0316    0.0031    0.0031    1.0039    0.6634    0.0179    0.0118
         2         3         1    0.0257    0.0350    0.0319    0.0319    0.0031    0.0031    0.9984    0.6598    0.0181    0.0120
         2         3         1    0.0258    0.0353    0.0323    0.0323    0.0030    0.0030    0.9930    0.6562    0.0183    0.0121
         2         3         1    0.0260    0.0357    0.0326    0.0326    0.0030    0.0030    0.9876    0.6527    0.0186    0.0123
         2         3         1    0.0261    0.0360    0.0330    0.0330    0.0030    0.0030    0.9824    0.6492    0.0188    0.0124
         2         3         1    0.0263    0.0364    0.0334    0.0334    0.0030    0.0030    0.9771    0.6457    0.0190    0.0126
         2         3         1    0.0264    0.0367    0.0337    0.0337    0.0030    0.0030    0.9720    0.6423    0.0193    0.0127
         2         3         1    0.0266    0.0371    0.0341    0.0341    0.0030    0.0030    0.9669    0.6390    0.0195    0.0129
         2         3         1    0.0267    0.0374    0.0344    0.0344    0.0030    0.0030    0.9619    0.6356    0.0197    0.0130
         2         3         1    0.0268    0.0378    0.0348    0.0348    0.0030    0.0030    0.9569    0.6323    0.0199    0.0132
         2         3         1    0.0270    0.0381    0.0352    0.0352    0.0029    0.0029    0.9520    0.6291    0.0202    0.0133
         2         3         1    0.0271    0.0385    0.0355    0.0355    0.0029    0.0029    0.9471    0.6259    0.0204    0.0135
         2         3         1    0.0273    0.0388    0.0359    0.0359    0.0029    0.0029    0.9423    0.6227    0.0206    0.0136
         2         3         1    0.0274    0.0392    0.0363    0.0363    0.0029    0.0029    0.9376    0.6196    0.0209    0.0138
         2         3         1    0.0275    0.0395    0.0366    0.0366    0.0029    0.0029    0.9329    0.6165    0.0211    0.0139
         2         3         1    0.0277    0.0399    0.0370    0.0370    0.0029    0.0029    0.9282    0.6134    0.0213    0.0141
         2         3         1    0.0278    0.0402    0.0374    0.0374    0.0029    0.0029    0.9236    0.6104    0.0216    0.0143
         2         3         1    0.0279    0.0406    0.0377    0.0377    0.0029    0.0029    0.9191    0.6074    0.0218    0.0144
         2         3         1    0.0281    0.0410    0.0381    0.0381    0.0029    0.0029    0.9146    0.6044    0.0220    0.0146
         2         3         1    0.0282    0.0413    0.0385    0.0385    0.0029    0.0029    0.9101    0.6014    0.0223    0.0147
         2         3         1    0.0283    0.0417    0.0388    0.0388    0.0028    0.0028    0.9057    0.5985    0.0225    0.0149
         2         3         1    0.0285    0.0420    0.0392    0.0392    0.0028    0.0028    0.9014    0.5957    0.0228    0.0150
         2         3         1    0.0286    0.0424    0.0396    0.0396    0.0028    0.0028    0.8971    0.5928    0.0230    0.0152
         2         3         1    0.0287    0.0427    0.0399    0.0399    0.0028    0.0028    0.8928    0.5900    0.0232    0.0154
         2         3         1    0.0288    0.0431    0.0403    0.0403    0.0028    0.0028    0.8886    0.5872    0.0235    0.0155
         2         3         1    0.0290    0.0435    0.0407    0.0407    0.0028    0.0028    0.8844    0.5844    0.0237    0.0157
         2         3         1    0.0291    0.0438    0.0410    0.0410    0.0028    0.0028    0.8803    0.5817    0.0239    0.0158
         2         3         1    0.0292    0.0442    0.0414    0.0414    0.0028    0.0028    0.8762    0.5790    0.0242    0.0160
         2         3         1    0.0293    0.0445    0.0418    0.0418    0.0028    0.0028    0.8721    0.5763    0.0244    0.0161
         2         3         1    0.0295    0.0449    0.0421    0.0421    0.0028    0.0028    0.8681    0.5737    0.0247    0.0163
         2         3         1    0.0296    0.0453    0.0425    0.0425    0.0028    0.0028    0.8641    0.5710    0.0249    0.0165
         2         3         1    0.0297    0.0456    0.0429    0.0429    0.0028    0.0028    0.8602    0.5684    0.0251    0.0166
         2         3         1    0.0298    0.0460    0.0432    0.0432    0.0027    0.0027    0.8563    0.5658    0.0254    0.0168
         2         3         1    0.0300    0.0464    0.0436    0.0436    0.0027    0.0027    0.8524    0.5633    0.0256    0.0169
         2         3         1    0.0301    0.0467    0.0440    0.0440    0.0027    0.0027    0.8486    0.5608    0.0259    0.0171
         2         3         1    0.0302    0.0471    0.0444    0.0444    0.0027    0.0027    0.8448    0.5583    0.0261    0.0173
         2         3         1    0.0303    0.0474    0.0447    0.0447    0.0027    0.0027    0.8410    0.5558    0.0264    0.0174
         2         3         1    0.0304    0.0478    0.0451    0.0451    0.0027    0.0027    0.8373    0.5533    0.0266    0.0176
         2         3         1    0.0305    0.0482    0.0455    0.0455    0.0027    0.0027    0.8336    0.5509    0.0268    0.0177
         2         3         1    0.0307    0.0485    0.0458    0.0458    0.0027    0.0027    0.8300    0.5485    0.0271    0.0179
